                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.1224,                0.50225,                0.89759,                 0.9605,                0.96493,                0.96962,                0.63163,                  1.646,                0.53614,                 1.0312,              0.0012657,              0.0012657,              0.0012657
                    124,                  1.186,                0.50632,                0.89689,                 0.9696,                0.97436,                0.97639,                0.63062,                 1.6605,                0.53776,                 1.0175,              0.0012624,              0.0012624,              0.0012624
                    125,                 1.1607,                0.48796,                0.89858,                  0.983,                0.94824,                0.96489,                0.63549,                 1.6533,                 0.5238,                 1.0309,              0.0012591,              0.0012591,              0.0012591
                    126,                 1.1044,                0.49513,                0.88678,                 0.9673,                0.94786,                  0.958,                0.62795,                 1.6701,                 0.5343,                 1.0363,              0.0012559,              0.0012559,              0.0012559
                    127,                 1.2222,                0.50053,                0.91721,                0.94554,                0.96154,                0.96991,                0.61925,                 1.6913,                0.55065,                  1.027,              0.0012526,              0.0012526,              0.0012526
                    128,                 1.2259,                0.51516,                0.90823,                0.97277,                0.95812,                0.96205,                0.63587,                  1.645,                0.53459,                 1.0264,              0.0012493,              0.0012493,              0.0012493
                    129,                 1.1443,                0.48605,                0.89797,                0.95209,                0.95832,                 0.9643,                0.63225,                 1.6341,                 0.5206,                 1.0245,               0.001246,               0.001246,               0.001246
                    130,                 1.1161,                0.48736,                0.91327,                 0.9485,                0.95862,                0.97802,                0.65173,                 1.6202,                0.52959,                 1.0195,              0.0012427,              0.0012427,              0.0012427
                    131,                 1.1587,                0.50529,                0.90767,                0.96304,                0.94227,                0.97599,                0.61789,                 1.6863,                0.57788,                 1.0276,              0.0012394,              0.0012394,              0.0012394
                    132,                 1.0708,                0.49215,                 0.8849,                0.97089,                 0.9359,                0.97313,                 0.6126,                 1.7707,                0.62014,                   1.05,              0.0012361,              0.0012361,              0.0012361
                    133,                 1.1471,                0.51318,                0.92247,                0.94764,                0.95212,                0.97484,                0.63181,                 1.7418,                0.58839,                 1.0385,              0.0012328,              0.0012328,              0.0012328
                    134,                 1.0964,                0.47455,                0.90199,                0.95235,                0.96734,                0.98039,                0.63213,                 1.6835,                0.53895,                 1.0256,              0.0012295,              0.0012295,              0.0012295
                    135,                 1.1344,                0.50095,                0.88782,                0.95551,                0.98526,                0.98104,                0.63578,                 1.6608,                0.52647,                 1.0155,              0.0012263,              0.0012263,              0.0012263
                    136,                 1.1196,                0.49343,                0.90167,                0.94833,                0.96154,                0.97313,                0.63477,                 1.6371,                0.55189,                 1.0089,               0.001223,               0.001223,               0.001223
                    137,                 1.1904,                 0.5068,                0.89929,                0.94344,                 0.9588,                0.96463,                0.62709,                 1.6604,                 0.6047,                  1.009,              0.0012197,              0.0012197,              0.0012197
                    138,                 1.1419,                0.51111,                0.92823,                0.94506,                0.97436,                0.96735,                0.62211,                 1.7238,                0.57845,                 1.0178,              0.0012164,              0.0012164,              0.0012164
                    139,                 1.1224,                0.48854,                0.89683,                0.94609,                0.97066,                0.97321,                0.63926,                   1.68,                 0.5605,                 1.0178,              0.0012131,              0.0012131,              0.0012131
                    140,                 1.1759,                0.49133,                0.90899,                0.95404,                0.92007,                0.95923,                0.63711,                 1.6385,                0.53862,                 1.0147,              0.0012098,              0.0012098,              0.0012098
                    141,                 1.0713,                0.46425,                0.90682,                0.91752,                0.93523,                0.95875,                0.63652,                 1.6164,                0.53428,                 1.0014,              0.0012065,              0.0012065,              0.0012065
                    142,                 1.1144,                0.47225,                0.88153,                0.91758,                0.95584,                0.96004,                0.64151,                 1.5843,                0.53544,                0.99908,              0.0012032,              0.0012032,              0.0012032
                    143,                 1.1104,                0.47455,                0.90366,                0.94649,                  0.901,                0.95623,                0.65778,                 1.6132,                 0.5464,                 1.0045,              0.0011999,              0.0011999,              0.0011999
                    144,                 1.1564,                0.48013,                0.89542,                0.95406,                0.92119,                 0.9524,                0.63608,                 1.6229,                0.53282,                 1.0035,              0.0011967,              0.0011967,              0.0011967
                    145,                 1.1997,                0.48762,                0.89991,                0.96553,                0.92249,                0.95469,                 0.6446,                 1.6091,                 0.5402,                 1.0038,              0.0011934,              0.0011934,              0.0011934
                    146,                  1.172,                 0.5055,                0.90666,                0.96519,                0.91168,                0.94512,                0.63658,                 1.6052,                0.53226,                 1.0088,              0.0011901,              0.0011901,              0.0011901
                    147,                 1.0653,                0.46058,                0.90047,                0.97716,                0.91168,                0.94662,                0.63429,                 1.6317,                0.52358,                 1.0123,              0.0011868,              0.0011868,              0.0011868
                    148,                 1.1354,                0.48315,                0.88978,                0.98619,                0.93176,                0.95164,                0.64925,                 1.5939,                0.51007,                0.99836,              0.0011835,              0.0011835,              0.0011835
                    149,                 1.1201,                0.47982,                0.89117,                0.97728,                0.94089,                0.95502,                0.63522,                 1.6165,                0.51459,                 1.0019,              0.0011802,              0.0011802,              0.0011802
                    150,                 1.1281,                0.49421,                0.90784,                0.97477,                 0.9522,                0.96555,                 0.6427,                 1.6145,                0.51655,                0.99901,              0.0011769,              0.0011769,              0.0011769
                    151,                 1.1681,                0.50145,                  0.914,                0.98274,                0.93395,                0.96453,                0.64143,                 1.5895,                0.50898,                 1.0001,              0.0011736,              0.0011736,              0.0011736
